#	Company	Symbol	Weight	      Price	Chg	% Chg
484	The Campbell's Company	CPB	0.02%	   38.58	-1.38	(-3.45%)
485	Generac Holdings Inc	GNRC	0.02%	   131.27	-0.07	(-0.05%)
486	Huntington Ingalls Industries, Inc.	HII	0.02%	   191.73	-3.28	(-1.68%)
487	Federal Realty Investment Trust	FRT	0.02%	   97.12	-1.16	(-1.18%)
488	Lamb Weston Holdings, Inc.	LW	0.02%	   51.31	-0.22	(-0.43%)
489	Apa Corporation	APA	0.02%	   19.65	0.45	(2.34%)
490	Mgm Resorts International	MGM	0.01%	   30.99	-0.30	(-0.96%)
491	Invesco Ltd	IVZ	0.01%	   15.25	0.01	(0.07%)
492	Paramount Global Class B	PARA	0.01%	   11.58	0.11	(0.96%)
493	Davita Inc.	DVA	0.01%	   142.63	-4.00	(-2.73%)
494	Brown-Forman Corporation Class B	BF.B	0.01%	   34.20	-1.83	(-5.08%)
495	Fox Corporation Class B	FOX	0.01%	   48.42	-0.57	(-1.16%)
496	Teleflex Incorporated	TFX	0.01%	   135.52	-3.30	(-2.38%)
497	Borgwarner Inc.	BWA	0.01%	   28.56	-0.68	(-2.33%)
498	Franklin Resources, Inc.	BEN	0.01%	   19.21	-0.41	(-2.09%)
499	Celanese Corporation	CE	0.01%	   52.79	-1.82	(-3.33%)
500	Caesars Entertainment, Inc.	CZR	0.01%	   27.32	-0.52	(-1.87%)
501	Mohawk Industries, Inc.	MHK	0.01%	   113.41	0.89	(0.79%)
502	Fmc Corporation	FMC	0.01%	   39.84	-1.54	(-3.72%)
503	News Corporation Class B	NWS	0.01%	   30.71	-0.05	(-0.16%)
504	Sandisk Corporation	SNDK	0.00%	   50.44	-1.72	(-3.30%)
